QuadrantTargetId,QuadrantId,AnimalId,MonthNumber,YearNumber,LowerTarget,HigherTarget
1,1,1,1,2009,1000,2000
2,1,1,2,2009,1000,2000
3,1,1,3,2009,1000,2000
4,1,1,4,2009,1000,2000
5,1,1,5,2009,1000,2000
6,1,1,6,2009,1000,2000
7,1,1,7,2009,1000,2000
8,1,1,8,2009,1000,2000
9,1,1,9,2009,1000,2000
10,1,1,10,2009,1000,2000
11,1,1,11,2009,1000,2000
12,1,1,12,2009,1000,2000
13,1,2,1,2009,1000,2000
14,1,2,2,2009,1000,2000
15,1,2,3,2009,1000,2000
16,1,2,4,2009,1000,2000
17,1,2,5,2009,1000,2000
18,1,2,6,2009,1000,2000
19,1,2,7,2009,1000,2000
20,1,2,8,2009,1000,2000
21,1,2,9,2009,1000,2000
22,1,2,10,2009,1000,2000
23,1,2,11,2009,1000,2000
24,1,2,12,2009,1000,2000
25,1,3,1,2009,300,700
26,1,3,2,2009,300,700
27,1,3,3,2009,300,700
28,1,3,4,2009,300,700
29,1,3,5,2009,300,700
30,1,3,6,2009,300,700
31,1,3,7,2009,300,700
32,1,3,8,2009,300,700
33,1,3,9,2009,300,700
34,1,3,10,2009,300,700
35,1,3,11,2009,300,700
36,1,3,12,2009,300,700
37,1,4,1,2009,2000,4000
38,1,4,2,2009,2000,4000
39,1,4,3,2009,2000,4000
40,1,4,4,2009,2000,4000
41,1,4,5,2009,2000,4000
42,1,4,6,2009,2000,4000
43,1,4,7,2009,2000,4000
44,1,4,8,2009,2000,4000
45,1,4,9,2009,2000,4000
46,1,4,10,2009,2000,4000
47,1,4,11,2009,2000,4000
48,1,4,12,2009,2000,4000
49,1,5,1,2009,1000,3000
50,1,5,2,2009,1000,3000
51,1,5,3,2009,1000,3000
52,1,5,4,2009,1000,3000
53,1,5,5,2009,1000,3000
54,1,5,6,2009,1000,3000
55,1,5,7,2009,1000,3000
56,1,5,8,2009,1000,3000
57,1,5,9,2009,1000,3000
58,1,5,10,2009,1000,3000
59,1,5,11,2009,1000,3000
60,1,5,12,2009,1000,3000
61,1,6,1,2009,2000,4000
62,1,6,2,2009,2000,4000
63,1,6,3,2009,2000,4000
64,1,6,4,2009,2000,4000
65,1,6,5,2009,2000,4000
66,1,6,6,2009,2000,4000
67,1,6,7,2009,2000,4000
68,1,6,8,2009,2000,4000
69,1,6,9,2009,2000,4000
70,1,6,10,2009,2000,4000
71,1,6,11,2009,2000,4000
72,1,6,12,2009,2000,4000
73,1,7,1,2009,800,1200
74,1,7,2,2009,800,1200
75,1,7,3,2009,800,1200
76,1,7,4,2009,800,1200
77,1,7,5,2009,800,1200
78,1,7,6,2009,800,1200
79,1,7,7,2009,800,1200
80,1,7,8,2009,800,1200
81,1,7,9,2009,800,1200
82,1,7,10,2009,800,1200
83,1,7,11,2009,800,1200
84,1,7,12,2009,800,1200
85,1,8,1,2009,300,700
86,1,8,2,2009,300,700
87,1,8,3,2009,300,700
88,1,8,4,2009,300,700
89,1,8,5,2009,300,700
90,1,8,6,2009,300,700
91,1,8,7,2009,300,700
92,1,8,8,2009,300,700
93,1,8,9,2009,300,700
94,1,8,10,2009,300,700
95,1,8,11,2009,300,700
96,1,8,12,2009,300,700
97,2,1,1,2009,1000,2000
98,2,1,2,2009,1000,2000
99,2,1,3,2009,1000,2000
100,2,1,4,2009,1000,2000
101,2,1,5,2009,1000,2000
102,2,1,6,2009,1000,2000
103,2,1,7,2009,1000,2000
104,2,1,8,2009,1000,2000
105,2,1,9,2009,1000,2000
106,2,1,10,2009,1000,2000
107,2,1,11,2009,1000,2000
108,2,1,12,2009,1000,2000
109,2,2,1,2009,1000,2000
110,2,2,2,2009,1000,2000
111,2,2,3,2009,1000,2000
112,2,2,4,2009,1000,2000
113,2,2,5,2009,1000,2000
114,2,2,6,2009,1000,2000
115,2,2,7,2009,1000,2000
116,2,2,8,2009,1000,2000
117,2,2,9,2009,1000,2000
118,2,2,10,2009,1000,2000
119,2,2,11,2009,1000,2000
120,2,2,12,2009,1000,2000
121,2,3,1,2009,300,700
122,2,3,2,2009,300,700
123,2,3,3,2009,300,700
124,2,3,4,2009,300,700
125,2,3,5,2009,300,700
126,2,3,6,2009,300,700
127,2,3,7,2009,300,700
128,2,3,8,2009,300,700
129,2,3,9,2009,300,700
130,2,3,10,2009,300,700
131,2,3,11,2009,300,700
132,2,3,12,2009,300,700
133,2,4,1,2009,2000,4000
134,2,4,2,2009,2000,4000
135,2,4,3,2009,2000,4000
136,2,4,4,2009,2000,4000
137,2,4,5,2009,2000,4000
138,2,4,6,2009,2000,4000
139,2,4,7,2009,2000,4000
140,2,4,8,2009,2000,4000
141,2,4,9,2009,2000,4000
142,2,4,10,2009,2000,4000
143,2,4,11,2009,2000,4000
144,2,4,12,2009,2000,4000
145,2,5,1,2009,1000,3000
146,2,5,2,2009,1000,3000
147,2,5,3,2009,1000,3000
148,2,5,4,2009,1000,3000
149,2,5,5,2009,1000,3000
150,2,5,6,2009,1000,3000
151,2,5,7,2009,1000,3000
152,2,5,8,2009,1000,3000
153,2,5,9,2009,1000,3000
154,2,5,10,2009,1000,3000
155,2,5,11,2009,1000,3000
156,2,5,12,2009,1000,3000
157,2,6,1,2009,2000,4000
158,2,6,2,2009,2000,4000
159,2,6,3,2009,2000,4000
160,2,6,4,2009,2000,4000
161,2,6,5,2009,2000,4000
162,2,6,6,2009,2000,4000
163,2,6,7,2009,2000,4000
164,2,6,8,2009,2000,4000
165,2,6,9,2009,2000,4000
166,2,6,10,2009,2000,4000
167,2,6,11,2009,2000,4000
168,2,6,12,2009,2000,4000
169,2,7,1,2009,800,1200
170,2,7,2,2009,800,1200
171,2,7,3,2009,800,1200
172,2,7,4,2009,800,1200
173,2,7,5,2009,800,1200
174,2,7,6,2009,800,1200
175,2,7,7,2009,800,1200
176,2,7,8,2009,800,1200
177,2,7,9,2009,800,1200
178,2,7,10,2009,800,1200
179,2,7,11,2009,800,1200
180,2,7,12,2009,800,1200
181,2,8,1,2009,300,700
182,2,8,2,2009,300,700
183,2,8,3,2009,300,700
184,2,8,4,2009,300,700
185,2,8,5,2009,300,700
186,2,8,6,2009,300,700
187,2,8,7,2009,300,700
188,2,8,8,2009,300,700
189,2,8,9,2009,300,700
190,2,8,10,2009,300,700
191,2,8,11,2009,300,700
192,2,8,12,2009,300,700
193,3,1,1,2009,1000,2000
194,3,1,2,2009,1000,2000
195,3,1,3,2009,1000,2000
196,3,1,4,2009,1000,2000
197,3,1,5,2009,1000,2000
198,3,1,6,2009,1000,2000
199,3,1,7,2009,1000,2000
200,3,1,8,2009,1000,2000
201,3,1,9,2009,1000,2000
202,3,1,10,2009,1000,2000
203,3,1,11,2009,1000,2000
204,3,1,12,2009,1000,2000
205,3,2,1,2009,1000,2000
206,3,2,2,2009,1000,2000
207,3,2,3,2009,1000,2000
208,3,2,4,2009,1000,2000
209,3,2,5,2009,1000,2000
210,3,2,6,2009,1000,2000
211,3,2,7,2009,1000,2000
212,3,2,8,2009,1000,2000
213,3,2,9,2009,1000,2000
214,3,2,10,2009,1000,2000
215,3,2,11,2009,1000,2000
216,3,2,12,2009,1000,2000
217,3,3,1,2009,300,700
218,3,3,2,2009,300,700
219,3,3,3,2009,300,700
220,3,3,4,2009,300,700
221,3,3,5,2009,300,700
222,3,3,6,2009,300,700
223,3,3,7,2009,300,700
224,3,3,8,2009,300,700
