StoreId,StoreName,CentreId
1,"Pavilion Shopping Centre - store A",1
2,"Times Square Shopping Centre - store A",2
3,"North Quay Retail Park - store A",3
4,"Norman Park - store A",4
5,"Crownhill Retail Park - store A",5
6,"Whiteley Village Outlet Mall - store A",6
7,"Cannon Park Shopping Centre - store A",7
8,"Snipe Retail Park - store A",8
9,"Abbey Wood Retail Park - store A",9
10,"Mayflower Retail Park - store A",10
11,"Ocean Park - store A",11
12,"Kingsmead Shopping Centre - store A",12
13,"Banbury Cross Retail Park - store A",14
14,"Sundorne Retail Park - store A",15
15,"Wellington Retail Park - store A",16
16,"Morton Park - store A",17
17,"Castle Vale Retail Park - store A",18
18,"Old George Mall - store A",19
19,"The Nicholson's Centre - store A",20
20,"Anglia Retail Park - store A",21
21,"Crown Wharf Shopping Park - store A",22
22,"Great Eastern Way Retail Park - store A",23
23,"Metro Park West - store A",24
24,"The Longford Shopping Centre - store A",25
25,"Southgate Shopping Centre - store A",26
26,"Riverside Retail Park - store A",27
27,"Peel Centre - store A",28
28,"Wharton Retail Park - store A",29
29,"Meridian Shopping Centre - store A",30
30,"Metropolitan Centre - store A",31
31,"South Wirral Retail Park - store A",32
32,"Kingston Centre - store A",33
33,"Pompey Centre - store A",34
34,"Crompton Place Shopping Centre - store A",35
35,"Kingswood Retail Park - store A",36
36,"Martineau Place - store A",37
37,"Market Centre - store A",38
38,"Wellington Shopping Centre - store A",39
39,"Gallagher Retail Park - store A",40
40,"Friern Bridge Retail Park - store A",41
41,"St Andrews Retail Park - store A",42
42,"Cornmill Shopping Centre - store A",43
43,"Cables Retail Park - store A",44
44,"The Mall - store A",45
45,"Solihull Retail Park - store A",46
46,"Designer Outlet @ the Lowry - store A",47
47,"Designer Outlet @ the Lowry - store B",47
48,"Central Retail Park - store A",48
49,"Barkers Arcade - store A",49
50,"Peel Centre - store A",50
51,"Ashford Retail Park - store A",51
52,"Town Square Shopping Centre - store A",52
53,"Ashford Designer Outlet - store A",53
54,"Observatory Shopping Centre - store A",54
55,"Beacon Shopping Centre - store A",55
56,"Kirkby Shopping Centre - store A",56
57,"Clarks Village - store A",57
58,"The Hart Shopping Centre - store A",58
59,"Saddlers Centre - store A",59
60,"Castle Meadow Retail Park - store A",60
61,"Meteor Centre - store A",61
62,"The Belfry - store A",62
63,"Wellington Square - store A",63
64,"Chelmer Village Retail Park - store A",64
65,"Tottenham Hale Retail Park - store A",65
66,"Robin Retail Park - store A",66
67,"West Quay Retail Park - store A",67
68,"Gallagher Retail Park - store A",68
69,"Mount Retail Park - store A",69
70,"Vicarage Field - store A",70
71,"The Crescent - store A",71
72,"Junction One Retail and Leisure Park - store A",72
73,"St Peters Way Shopping Centre - store A",73
74,"Telford Bridge Retail Park - store A",74
75,"The Marlands Shopping Centre - store A",75
76,"St James Retail Park - store A",76
77,"Regent Arcade Shopping Centre - store A",77
78,"Forbury Retail Park - store A",78
79,"The Junction East London - store A",79
80,"Leeds Road Retail Park - store A",80
81,"Thornaby Shopping Centre - store A",81
82,"Meols Cop Retail Park - store A",82
83,"Newlands Centre - store A",83
84,"New Bond Street - store A",84
85,"The Rushes - store A",85
86,"Lakeside Extra Retail Park - store A",86
87,"St Georges Shopping Centre - store A",87
88,"Octagon Centre - store A",88
89,"Reading Gate Retail Park - store A",89
90,"Borehamwood Shopping Park - store A",90
91,"Fulham Broadway - store A",91
92,"Ryemarket Shopping Centre - store A",92
93,"White City Retail Park - store A",93
94,"Grays Shopping Centre - store A",94
95,"Broadwalk Shopping Centre - store A",95
96,"Dunmail Park Shopping Centre - store A",96
97,"Newton Aycliffe Shopping Centre - store A",97
98,"Swinton Shopping Centre - store A",98
99,"Portland Walk Shopping Centre - store A",99
100,"The Wulfrun Centre - store A",100
101,"Riverside Retail Park - store A",101
102,"Northgate Quarter - store A",102
103,"Ellesmere Retail Park - store A",103
104,"New Cathedral Street - store A",104
105,"Millburngate Shopping Centre - store A",105
106,"Phoenix Retail Park - store A",106
107,"Princess Square Shopping Centre - store A",107
108,"Harpur Centre - store A",108
109,"Bath Road Retail Park - store A",109
110,"Regent Walk - store A",110
111,"Piazza Shopping Centre - store A",111
112,"Darwin Shopping Centre - store A",112
113,"Gallions Reach Shopping Park - store A",113
114,"The Greyhound Retail Park - store A",114
115,"Vancouver Centre - store A",115
116,"Great Western Designer Outlet - store A",116
117,"Great Western Designer Outlet - store B",116
118,"Festival Retail Park - store A",117
119,"Lion Walk Shopping Centre - store A",118
120,"Riverside Retail Park - store A",119
121,"Meadowhall Retail Park - store A",120
122,"Lakeside Retail Park - store A",121
123,"Ankerside Shopping Centre - store A",122
124,"St George's Shopping Centre - store A",123
125,"Westgate Retail and Leisure Park - store A",124
126,"Retail Park At Cribbs Causeway - store A",125
127,"Altrincham Retail Park - store A",126
128,"Carlton Centre - store A",127
129,"Prospect Place Retail Park - store A",128
130,"Palace Gardens Shopping Centre - store A",129
131,"Wheatley Centre - store A",130
132,"Metro Retail Park - store A",131
133,"West Orchards Shopping Centre - store A",132
134,"Victoria Quarter - store A",133
135,"The Foundry - store A",134
136,"Hunts Cross Shopping Park - store A",135
137,"Captain Cook Square - store A",136
138,"Vicar Lane Shopping Centre - store A",137
139,"Cambridge Retail Park - store A",138
140,"The Junction Sheffield - store A",139
141,"The Killingworth Centre - store A",140
142,"The Gallagher Retail Park - store A",141
143,"Leyton Mills - store A",142
144,"Belle Vale Shopping Centre - store A",143
145,"The Mall - store A",144
146,"Viking Shopping Centre - store A",145
147,"Cortonwood Retail Park - store A",146
148,"Queensgate Centre Retail Park - store A",147
149,"Handforth Dean Centre - store A",148
150,"Wolsey Place Shopping Centre - store A",149
151,"The Galleries Shopping Centre - store A",150
152,"Queen's Square Shopping Centre - store A",151
153,"Birchwood Shopping Centre - store A",152
154,"Four Seasons Shopping Centre - store A",153
155,"Brookfield Centre (Tesco) - store A",154
156,"North Point Shopping Centre - store A",155
157,"Westgate Shopping Centre - store A",156
158,"Hill Street Centre - store A",157
159,"Holmbush Farm - store A",158
160,"Silverlink Retail & Leisure Park - store A",159
161,"Cleveland Retail Park - store A",160
162,"Peel Centre - store A",161
163,"Interchange Retail Park - store A",162
164,"Forster Square Retail Park - store A",163
165,"County Square Shopping Centre - store A",164
166,"The Quedam Shopping Centre - store A",165
167,"Howard Centre - store A",166
168,"Charter Place Shopping Centre - store A",167
169,"The Square - store A",168
170,"The Mall Romford - store A",169
171,"Pride Hill Shopping Centre - store A",170
172,"The Boardwalk - store A",171
173,"Wolstanton Retail Park - store A",172
174,"Victoria Retail Park - store A",173
175,"Racecourse Retail Park - store A",174
176,"The Pallasades Shopping Centre - store A",175
177,"Mcarthurglen Designer Outlet York - store A",176
178,"Mcarthurglen Designer Outlet York - store B",176
179,"Green Oaks Shopping Centre - store A",177
180,"Elmsleigh Centre - store A",178
181,"Ravenhead Park - store A",179
182,"The Maltings Shopping Centre - store A",180
183,"The Royals Shopping Centre - store A",181
184,"Hedge End Park - store A",182
185,"The Parishes - store A",183
186,"Clock Towers Shopping Centre - store A",184
187,"Kennet Centre - store A",185
188,"Edge Lane Retail Park - store A",186
189,"Crossley Park Retail Park - store A",187
190,"The Airedale Shopping Centre - store A",188
191,"Swan Walk - store A",189
192,"Eastgate Shopping Centre - store A",190
193,"Manor Walks Shopping Centre - store A",191
194,"Freeport Designer Outlet Village - store A",192
195,"Stamford Shopping Centre - store A",193
196,"Friars Square Shopping Centre - store A",194
197,"High Chelmer Shopping Centre - store A",195
198,"Blackburn Retail Park - store A",196
199,"The Parade Centre - store A",197
200,"Crown Point Retail Park - store A",198
201,"The Junction Wembley - store A",199
202,"The Fort Shopping Park - store A",200
203,"Woolshops Shopping Centre - store A",201
